# Wavenumber Transmittence
606.88 0.995400
592.81 0.992400
630.31 1.002400
611.56 0.997200
710.00 1.013200
728.75 1.012800
616.25 0.998800
658.44 1.006600
588.13 0.991400
597.50 0.994000
733.44 1.009000
644.38 1.007000
705.31 1.013000
719.38 1.015000
695.94 1.009600
681.88 1.007200
625.63 1.001200
672.50 1.002000
639.69 1.005000
649.06 1.007800
653.75 1.007400
667.81 1.011400
691.25 1.008000
738.13 1.007400
724.06 1.020200
602.19 0.994800
677.19 0.999400
620.94 1.000400
700.63 1.012200
686.56 1.008000
714.69 1.013400
635.00 1.004200
663.13 1.007800
