# Wavenumber,Transmittence
756.88,1.006200
958.44,0.989600
902.19,0.798200
817.81,0.985400
761.56,1.005000
766.25,1.004000
864.69,0.821200
770.94,1.000800
869.38,0.796200
799.06,0.985000
874.06,0.803000
775.63,0.998000
972.50,0.972000
822.50,0.986000
813.13,0.985000
916.25,0.938800
981.88,0.941400
845.94,0.969200
860.00,0.862200
785.00,0.991400
925.63,0.976000
827.19,0.985800
944.38,0.992800
855.31,0.912600
963.13,0.986800
967.81,0.980800
892.81,0.761400
906.88,0.846960
953.75,0.992200
888.13,0.772040
794.38,0.986800
935.00,0.986200
780.31,0.993800
897.50,0.777400
930.31,0.983400
883.44,0.777200
808.44,0.984800
939.69,0.990000
911.56,0.903400
789.69,0.988600
831.88,0.984400
949.06,0.994000
803.75,0.984000
841.25,0.978400
836.56,0.981400
920.94,0.963400
850.63,0.945800
878.75,0.773480
977.19,0.960000
