# Wavenumber Transmittence
2542.81 1.001000
2570.94 1.000000
2491.25 0.998920
2495.94 1.000000
2505.31 1.000660
2556.88 1.001000
2547.50 1.001000
2528.75 1.001000
2613.13 0.991940
2622.50 0.990200
2500.63 1.000000
2585.00 0.999880
2599.06 0.998000
2510.00 1.001000
2552.19 1.001000
2538.13 1.001000
2533.44 1.001000
2524.06 1.001000
2514.69 1.001000
2566.25 1.000580
2627.19 0.988420
2603.75 0.997080
2589.69 0.998080
2519.38 1.001000
2575.63 1.000000
2580.31 1.000000
2594.38 0.998000
2561.56 1.001000
2617.81 0.991040
2608.44 0.994080
