# Wavenumber Transmittence
672.50 1.002000
536.56 0.970000
635.00 1.004200
578.75 0.988200
639.69 1.005000
681.88 1.007200
550.63 0.972000
625.63 1.001200
592.81 0.992400
644.38 1.007000
569.38 0.983200
691.25 1.008000
545.94 0.970000
658.44 1.006600
560.00 0.978000
695.94 1.009600
653.75 1.007400
663.13 1.007800
649.06 1.007800
597.50 0.994000
583.44 0.988800
555.31 0.974400
574.06 0.985600
705.31 1.013000
611.56 0.997200
700.63 1.012200
531.88 0.969000
602.19 0.994800
564.69 0.981200
620.94 1.000400
588.13 0.991400
616.25 0.998800
686.56 1.008000
677.19 0.999400
606.88 0.995400
630.31 1.002400
541.25 0.970000
667.81 1.011400
