# Wavenumber,Transmittence
2364.69,1.001000
2200.63,0.996200
2261.56,0.991000
2313.13,1.001000
2317.81,1.001000
2270.94,0.989000
2205.31,0.997900
2256.88,0.992660
2327.19,1.000660
2219.38,1.000000
2233.44,0.999920
2289.69,0.994840
2247.50,0.995840
2299.06,0.999540
2360.00,1.001000
2350.63,0.997660
2322.50,1.001000
2252.19,0.994620
2331.88,0.999720
2308.44,1.001000
2294.38,0.997000
2285.00,0.993120
2214.69,1.000000
2228.75,1.000000
2275.63,0.990120
2224.06,1.000000
2210.00,0.999900
2242.81,0.997220
2341.25,0.994240
2355.31,1.000340
2369.38,1.001000
2238.13,0.998120
2280.31,0.991780
2336.56,0.997200
2345.94,0.994340
2266.25,0.989840
2303.75,1.000920
