# Wavenumber,Transmittence
864.69,0.821200
869.38,0.796200
799.06,0.985000
925.63,0.976000
845.94,0.969200
766.25,1.004000
855.31,0.912600
827.19,0.985800
906.88,0.846960
920.94,0.963400
836.56,0.981400
719.38,1.015000
775.63,0.998000
738.13,1.007400
808.44,0.984800
747.50,1.007400
817.81,0.985400
780.31,0.993800
831.88,0.984400
813.13,0.985000
761.56,1.005000
756.88,1.006200
874.06,0.803000
902.19,0.798200
742.81,1.007000
728.75,1.012800
724.06,1.020200
930.31,0.983400
785.00,0.991400
883.44,0.777200
850.63,0.945800
897.50,0.777400
803.75,0.984000
822.50,0.986000
794.38,0.986800
714.69,1.013400
892.81,0.761400
860.00,0.862200
789.69,0.988600
935.00,0.986200
733.44,1.009000
878.75,0.773480
916.25,0.938800
841.25,0.978400
911.56,0.903400
752.19,1.006200
770.94,1.000800
888.13,0.772040
