# Wavenumber,Transmittence
869.38,0.796200
780.31,0.993800
949.06,0.994000
939.69,0.990000
897.50,0.777400
803.75,0.984000
850.63,0.945800
878.75,0.773480
808.44,0.984800
874.06,0.803000
756.88,1.006200
752.19,1.006200
761.56,1.005000
799.06,0.985000
888.13,0.772040
883.44,0.777200
813.13,0.985000
930.31,0.983400
794.38,0.986800
775.63,0.998000
920.94,0.963400
827.19,0.985800
845.94,0.969200
855.31,0.912600
911.56,0.903400
944.38,0.992800
916.25,0.938800
864.69,0.821200
770.94,1.000800
906.88,0.846960
925.63,0.976000
831.88,0.984400
747.50,1.007400
785.00,0.991400
766.25,1.004000
902.19,0.798200
822.50,0.986000
935.00,0.986200
817.81,0.985400
841.25,0.978400
836.56,0.981400
860.00,0.862200
892.81,0.761400
789.69,0.988600
