# Wavenumber,Transmittence
1689.69,0.988000
1741.25,0.984000
1694.38,0.986400
1699.06,0.986000
1755.31,0.984000
1727.19,0.985000
1703.75,0.986000
1685.00,0.985600
1788.13,0.988000
1783.44,0.988000
1792.81,0.988400
1811.56,0.994000
1778.75,0.988000
1745.94,0.984000
1717.81,0.982400
1750.63,0.984000
1708.44,0.985200
1736.56,0.984000
1713.13,0.982800
1816.25,0.994800
1769.38,0.982800
1774.06,0.985200
1722.50,0.984400
1797.50,0.991400
1760.00,0.983200
1825.63,0.996600
1802.19,0.994000
1731.88,0.984800
1764.69,0.982000
1820.94,0.995800
1806.88,0.994000
