# Wavenumber	Transmittence
935.00	0.986200
1010.00	0.633680
1005.31	0.705800
1033.44	0.325820
967.81	0.980800
1042.81	0.209600
883.44	0.777200
1000.63	0.772680
1052.19	0.179400
963.13	0.986800
986.56	0.917200
920.94	0.963400
878.75	0.773480
1024.06	0.448440
1047.50	0.188600
981.88	0.941400
1014.69	0.555600
1038.13	0.258000
864.69	0.821200
1061.56	0.179820
1075.63	0.193800
977.19	0.960000
939.69	0.990000
869.38	0.796200
1080.31	0.247600
911.56	0.903400
906.88	0.846960
1085.00	0.309360
1028.75	0.398780
1070.94	0.197000
1056.88	0.178140
892.81	0.761400
916.25	0.938800
888.13	0.772040
949.06	0.994000
1019.38	0.527000
874.06	0.803000
953.75	0.992200
1066.25	0.164540
972.50	0.972000
944.38	0.992800
930.31	0.983400
991.25	0.883600
902.19	0.798200
897.50	0.777400
925.63	0.976000
958.44	0.989600
995.94	0.841800
