# Wavenumber Transmittence
949.06 0.994000
972.50 0.972000
1010.00 0.633680
1103.75 0.583980
1085.00 0.309360
1061.56 0.179820
977.19 0.960000
1000.63 0.772680
1089.69 0.411380
1038.13 0.258000
958.44 0.989600
991.25 0.883600
944.38 0.992800
1019.38 0.527000
986.56 0.917200
1056.88 0.178140
963.13 0.986800
995.94 0.841800
1052.19 0.179400
1028.75 0.398780
1014.69 0.555600
1042.81 0.209600
1033.44 0.325820
920.94 0.963400
1099.06 0.542800
930.31 0.983400
1070.94 0.197000
1075.63 0.193800
935.00 0.986200
953.75 0.992200
1024.06 0.448440
925.63 0.976000
967.81 0.980800
1094.38 0.507800
1047.50 0.188600
1080.31 0.247600
981.88 0.941400
1066.25 0.164540
939.69 0.990000
1005.31 0.705800
