# Wavenumber Transmittence
3400.63 1.001000
3325.63 1.007000
3386.56 1.002540
3419.38 1.003640
3405.31 1.001000
3344.38 1.007000
3349.06 1.006480
3335.00 1.007000
3424.06 1.004000
3410.00 1.001420
3447.50 1.000940
3358.44 1.005000
3367.81 1.005000
3381.88 1.003860
3320.94 1.007000
3353.75 1.005000
3391.25 1.001900
3395.94 1.001000
3339.69 1.007000
3372.50 1.003800
3428.75 1.004000
3363.13 1.005000
3442.81 1.001000
3377.19 1.004780
3414.69 1.002000
3452.19 1.000040
3433.44 1.002760
3438.13 1.001580
3330.31 1.007000
