# Wavenumber,Transmittence
527.19,0.969000
494.38,0.972000
588.13,0.991400
560.00,0.978000
470.94,0.968800
461.56,0.966000
536.56,0.970000
602.19,0.994800
564.69,0.981200
649.06,1.007800
630.31,1.002400
499.06,0.970400
611.56,0.997200
485.00,0.972000
625.63,1.001200
541.25,0.970000
480.31,0.970000
616.25,0.998800
517.81,0.969000
508.44,0.970000
635.00,1.004200
639.69,1.005000
574.06,0.985600
644.38,1.007000
578.75,0.988200
583.44,0.988800
620.94,1.000400
531.88,0.969000
550.63,0.972000
545.94,0.970000
475.63,0.969400
522.50,0.969000
597.50,0.994000
466.25,0.968000
592.81,0.992400
606.88,0.995400
503.75,0.970000
569.38,0.983200
489.69,0.972000
513.13,0.969400
555.31,0.974400
