# Wavenumber,Transmittence
1619.38,0.986200
1614.69,0.988000
1595.94,0.990600
1699.06,0.986000
1572.50,0.993200
1689.69,0.988000
1670.94,0.988000
1661.56,0.988600
1675.63,0.986200
1685.00,0.985600
1581.88,0.992600
1624.06,0.987600
1666.25,0.989000
1694.38,0.986400
1586.56,0.994800
1600.63,0.990200
1633.44,0.988000
1638.13,0.988000
1577.19,0.989600
1703.75,0.986000
1647.50,0.987200
1610.00,0.989400
1605.31,0.988800
1591.25,0.988800
1628.75,0.989400
1680.31,0.984400
1656.88,0.985400
1652.19,0.984200
1642.81,0.988000
1567.81,0.991400
