# Wavenumber,Transmittence
808.44,0.984800
719.38,1.015000
766.25,1.004000
714.69,1.013400
799.06,0.985000
686.56,1.008000
761.56,1.005000
705.31,1.013000
803.75,0.984000
710.00,1.013200
733.44,1.009000
752.19,1.006200
822.50,0.986000
780.31,0.993800
663.13,1.007800
770.94,1.000800
700.63,1.012200
672.50,1.002000
738.13,1.007400
813.13,0.985000
667.81,1.011400
775.63,0.998000
677.19,0.999400
817.81,0.985400
789.69,0.988600
747.50,1.007400
728.75,1.012800
827.19,0.985800
785.00,0.991400
724.06,1.020200
756.88,1.006200
691.25,1.008000
742.81,1.007000
831.88,0.984400
681.88,1.007200
695.94,1.009600
794.38,0.986800
