# Wavenumber Transmittence
705.31 1.013000
756.88 1.006200
639.69 1.005000
649.06 1.007800
808.44 0.984800
686.56 1.008000
653.75 1.007400
770.94 1.000800
747.50 1.007400
766.25 1.004000
738.13 1.007400
658.44 1.006600
761.56 1.005000
841.25 0.978400
714.69 1.013400
691.25 1.008000
724.06 1.020200
827.19 0.985800
775.63 0.998000
663.13 1.007800
785.00 0.991400
817.81 0.985400
803.75 0.984000
752.19 1.006200
681.88 1.007200
813.13 0.985000
836.56 0.981400
700.63 1.012200
630.31 1.002400
794.38 0.986800
672.50 1.002000
667.81 1.011400
728.75 1.012800
733.44 1.009000
799.06 0.985000
719.38 1.015000
742.81 1.007000
710.00 1.013200
831.88 0.984400
780.31 0.993800
677.19 0.999400
789.69 0.988600
644.38 1.007000
695.94 1.009600
822.50 0.986000
635.00 1.004200
