# Wavenumber,Transmittence
1136.56,0.923000
1042.81,0.209600
972.50,0.972000
991.25,0.883600
1075.63,0.193800
1056.88,0.178140
1150.63,0.954200
1047.50,0.188600
981.88,0.941400
1052.19,0.179400
1145.94,0.947000
1014.69,0.555600
953.75,0.992200
1061.56,0.179820
1005.31,0.705800
977.19,0.960000
1010.00,0.633680
1070.94,0.197000
1033.44,0.325820
1122.50,0.856800
995.94,0.841800
1099.06,0.542800
1094.38,0.507800
935.00,0.986200
1038.13,0.258000
939.69,0.990000
1131.88,0.907800
1085.00,0.309360
1080.31,0.247600
1089.69,0.411380
949.06,0.994000
1028.75,0.398780
1127.19,0.885400
1108.44,0.648400
986.56,0.917200
944.38,0.992800
1113.13,0.734100
1024.06,0.448440
1103.75,0.583980
1000.63,0.772680
1066.25,0.164540
1117.81,0.795200
1019.38,0.527000
958.44,0.989600
967.81,0.980800
1141.25,0.935800
963.13,0.986800
