# Wavenumber,Transmittence
710.00,1.013200
649.06,1.007800
644.38,1.007000
780.31,0.993800
836.56,0.981400
705.31,1.013000
756.88,1.006200
752.19,1.006200
663.13,1.007800
831.88,0.984400
817.81,0.985400
639.69,1.005000
616.25,0.998800
724.06,1.020200
686.56,1.008000
766.25,1.004000
653.75,1.007400
677.19,0.999400
681.88,1.007200
728.75,1.012800
672.50,1.002000
770.94,1.000800
761.56,1.005000
738.13,1.007400
747.50,1.007400
620.94,1.000400
630.31,1.002400
691.25,1.008000
789.69,0.988600
822.50,0.986000
794.38,0.986800
635.00,1.004200
695.94,1.009600
658.44,1.006600
625.63,1.001200
700.63,1.012200
719.38,1.015000
775.63,0.998000
808.44,0.984800
785.00,0.991400
803.75,0.984000
611.56,0.997200
799.06,0.985000
827.19,0.985800
742.81,1.007000
714.69,1.013400
733.44,1.009000
813.13,0.985000
667.81,1.011400
