# Wavenumber,Transmittence
639.69,1.005000
653.75,1.007400
569.38,0.983200
663.13,1.007800
578.75,0.988200
625.63,1.001200
705.31,1.013000
550.63,0.972000
677.19,0.999400
545.94,0.970000
602.19,0.994800
583.44,0.988800
644.38,1.007000
588.13,0.991400
672.50,1.002000
564.69,0.981200
592.81,0.992400
611.56,0.997200
536.56,0.970000
574.06,0.985600
700.63,1.012200
695.94,1.009600
616.25,0.998800
681.88,1.007200
630.31,1.002400
686.56,1.008000
560.00,0.978000
691.25,1.008000
620.94,1.000400
597.50,0.994000
541.25,0.970000
635.00,1.004200
658.44,1.006600
667.81,1.011400
649.06,1.007800
555.31,0.974400
606.88,0.995400
