# Wavenumber,Transmittence
2846.00,0.844520
3056.00,0.627860
2921.00,0.667880
3006.00,0.697520
2901.00,0.773500
2891.00,0.736900
2996.00,0.727660
2861.00,0.800440
3066.00,0.613380
3031.00,0.491300
3071.00,0.601700
2851.00,0.830880
2991.00,0.739980
2951.00,0.704520
2931.00,0.618560
2961.00,0.747520
2881.00,0.719880
3051.00,0.574200
3021.00,0.618980
3036.00,0.460880
3061.00,0.624440
2856.00,0.815980
2941.00,0.625220
2886.00,0.723160
3016.00,0.668520
3046.00,0.489560
2976.00,0.764380
2946.00,0.657160
2971.00,0.767580
2906.00,0.772900
2926.00,0.631860
3001.00,0.712100
2981.00,0.757460
2916.00,0.736060
2836.00,0.848840
2831.00,0.850580
3041.00,0.460360
2986.00,0.749740
2841.00,0.847700
3076.00,0.601020
2871.00,0.753680
2896.00,0.759360
2876.00,0.731160
2936.00,0.616840
2911.00,0.766940
3011.00,0.685480
2956.00,0.730640
2966.00,0.761280
3026.00,0.554680
2866.00,0.779600
