# Wavenumber	Transmittence
3591.00	0.876240
3541.00	0.877600
3506.00	0.877040
3476.00	0.876900
3676.00	0.871720
3641.00	0.874620
3701.00	0.872420
3681.00	0.871220
3581.00	0.876580
3696.00	0.872020
3496.00	0.877300
3586.00	0.876420
3601.00	0.875940
3561.00	0.877220
3611.00	0.875640
3486.00	0.877100
3536.00	0.877600
3546.00	0.877600
3596.00	0.876080
3631.00	0.875080
3686.00	0.871200
3691.00	0.871360
3526.00	0.877600
3516.00	0.877520
3481.00	0.876980
3576.00	0.876760
3651.00	0.874120
3551.00	0.877540
3636.00	0.874880
3656.00	0.873880
3511.00	0.877500
3521.00	0.877600
3616.00	0.875520
3671.00	0.872420
3706.00	0.872680
3661.00	0.873620
3606.00	0.875820
3711.00	0.872680
3621.00	0.875380
3566.00	0.877060
3646.00	0.874380
3501.00	0.877380
3626.00	0.875220
3571.00	0.876880
3531.00	0.877600
3556.00	0.877380
3666.00	0.873180
3491.00	0.877180
