# Wavenumber,Transmittence
1886.00,0.829440
1981.00,0.838560
1856.00,0.809720
2051.00,0.839740
2016.00,0.839280
2036.00,0.839220
1841.00,0.821140
2011.00,0.839080
1836.00,0.825160
2041.00,0.839060
1976.00,0.838940
1901.00,0.831680
1961.00,0.823860
2026.00,0.839400
1941.00,0.807640
1956.00,0.817040
1991.00,0.837800
1846.00,0.816020
1936.00,0.811720
2046.00,0.839360
1906.00,0.831060
1871.00,0.815620
1911.00,0.829860
1896.00,0.832440
1831.00,0.827600
1916.00,0.828160
1971.00,0.834500
1876.00,0.818080
1881.00,0.823780
1861.00,0.804300
2031.00,0.839380
2056.00,0.840080
1946.00,0.803140
1891.00,0.831520
2001.00,0.838620
1966.00,0.828340
2006.00,0.838880
1921.00,0.825440
1821.00,0.827380
1951.00,0.809120
1851.00,0.815420
2066.00,0.840680
2021.00,0.839400
1866.00,0.810300
1926.00,0.819500
1996.00,0.838120
1986.00,0.837880
1931.00,0.813960
1826.00,0.828800
2061.00,0.840420
