# Wavenumber Transmittence
3341.00 0.869220
3281.00 0.865680
3346.00 0.869480
3166.00 0.862160
3316.00 0.867820
3186.00 0.860840
3351.00 0.869720
3336.00 0.868980
3301.00 0.866920
3171.00 0.861680
3251.00 0.864640
3266.00 0.864760
3296.00 0.866580
3286.00 0.865980
3241.00 0.864880
3361.00 0.870220
3216.00 0.866900
3261.00 0.864440
3176.00 0.860460
3201.00 0.865420
3331.00 0.868720
3271.00 0.865040
3206.00 0.866740
3196.00 0.863800
3181.00 0.859980
3221.00 0.866340
3276.00 0.865380
3191.00 0.862280
3311.00 0.867520
3306.00 0.867180
3326.00 0.868420
3291.00 0.866280
3226.00 0.865800
3371.00 0.870720
3236.00 0.865020
3231.00 0.865220
3366.00 0.870480
3321.00 0.868120
3211.00 0.867260
3356.00 0.869980
3381.00 0.871340
3246.00 0.864760
3256.00 0.864520
3376.00 0.870980
3161.00 0.861680
