# Wavenumber Transmittence
2291.00 0.855440
2316.00 0.859780
2376.00 0.861100
2341.00 0.863040
2346.00 0.862460
2361.00 0.869960
2286.00 0.854820
2396.00 0.855520
2411.00 0.856180
2326.00 0.862600
2381.00 0.858320
2271.00 0.853340
2276.00 0.853800
2356.00 0.868480
2371.00 0.865300
2406.00 0.855980
2426.00 0.856280
2281.00 0.854300
2401.00 0.855720
2336.00 0.863880
2366.00 0.868260
2421.00 0.856200
2386.00 0.857120
2301.00 0.856740
2351.00 0.864360
2431.00 0.856580
2331.00 0.863720
2266.00 0.852900
2391.00 0.856100
2306.00 0.857420
2416.00 0.856200
2296.00 0.855520
2321.00 0.861100
2311.00 0.858520
