# Wavenumber Transmittence
496.00 0.871440
606.00 0.875300
641.00 0.867260
651.00 0.861960
666.00 0.845980
631.00 0.870740
491.00 0.867160
591.00 0.876140
581.00 0.875540
531.00 0.860500
611.00 0.874600
621.00 0.872960
596.00 0.876260
501.00 0.872600
471.00 0.819700
676.00 0.752280
546.00 0.865380
466.00 0.782880
586.00 0.875980
461.00 0.788240
636.00 0.869540
541.00 0.863700
561.00 0.870720
516.00 0.866700
661.00 0.854620
576.00 0.874900
536.00 0.862060
656.00 0.858800
551.00 0.867080
626.00 0.871840
521.00 0.861760
476.00 0.838200
456.00 0.795540
506.00 0.872020
671.00 0.797500
526.00 0.859220
481.00 0.845540
571.00 0.873820
556.00 0.868880
616.00 0.873920
646.00 0.864660
601.00 0.875960
566.00 0.872500
486.00 0.856180
511.00 0.869920
