# Wavenumber,Transmittence
1716.00,0.828200
1856.00,0.809720
1901.00,0.831680
1781.00,0.816860
1916.00,0.828160
1726.00,0.825040
1836.00,0.825160
1811.00,0.815480
1846.00,0.816020
1886.00,0.829440
1881.00,0.823780
1796.00,0.807000
1721.00,0.826340
1821.00,0.827380
1776.00,0.820540
1746.00,0.831500
1786.00,0.813120
1696.00,0.832460
1711.00,0.829960
1791.00,0.809540
1691.00,0.831180
1851.00,0.815420
1866.00,0.810300
1731.00,0.824200
1891.00,0.831520
1756.00,0.831040
1896.00,0.832440
1871.00,0.815620
1876.00,0.818080
1766.00,0.826480
1906.00,0.831060
1801.00,0.807560
1771.00,0.824000
1806.00,0.811380
1751.00,0.831840
1741.00,0.826020
1831.00,0.827600
1816.00,0.821880
1761.00,0.828860
1911.00,0.829860
1921.00,0.825440
1826.00,0.828800
1736.00,0.824060
1686.00,0.829800
1701.00,0.832100
1861.00,0.804300
1841.00,0.821140
1706.00,0.831480
