# Wavenumber,Transmittence
1306.00,0.833740
1301.00,0.834980
1386.00,0.776800
1446.00,0.768760
1311.00,0.832580
1451.00,0.755840
1436.00,0.793200
1396.00,0.791060
1341.00,0.828900
1326.00,0.830860
1331.00,0.830300
1381.00,0.780600
1421.00,0.800380
1346.00,0.829080
1441.00,0.781460
1456.00,0.750020
1336.00,0.829600
1361.00,0.829300
1426.00,0.803460
1376.00,0.792380
1391.00,0.779980
1316.00,0.831900
1431.00,0.801500
1351.00,0.831080
1401.00,0.801980
1406.00,0.807340
1411.00,0.806640
1416.00,0.803920
1366.00,0.820360
1321.00,0.831400
1356.00,0.832000
1371.00,0.807380
