# Wavenumber Transmittence
3231.00 0.865220
3216.00 0.866900
3226.00 0.865800
3236.00 0.865020
3331.00 0.868720
3271.00 0.865040
3161.00 0.861680
3166.00 0.862160
3116.00 0.780180
3191.00 0.862280
3171.00 0.861680
3241.00 0.864880
3126.00 0.810080
3246.00 0.864760
3306.00 0.867180
3301.00 0.866920
3151.00 0.859680
3291.00 0.866280
3356.00 0.869980
3176.00 0.860460
3146.00 0.858100
3206.00 0.866740
3341.00 0.869220
3321.00 0.868120
3361.00 0.870220
3136.00 0.844460
3266.00 0.864760
3281.00 0.865680
3346.00 0.869480
3336.00 0.868980
3156.00 0.860760
3201.00 0.865420
3286.00 0.865980
3351.00 0.869720
3251.00 0.864640
3211.00 0.867260
3121.00 0.794920
3256.00 0.864520
3141.00 0.854080
3181.00 0.859980
3311.00 0.867520
3221.00 0.866340
3326.00 0.868420
3131.00 0.829940
3186.00 0.860840
3276.00 0.865380
3296.00 0.866580
3316.00 0.867820
3196.00 0.863800
3261.00 0.864440
