# Wavenumber Transmittence
596.00 0.876260
681.00 0.716000
651.00 0.861960
731.00 0.215180
676.00 0.752280
576.00 0.874900
601.00 0.875960
606.00 0.875300
611.00 0.874600
616.00 0.873920
721.00 0.504080
711.00 0.600100
581.00 0.875540
666.00 0.845980
636.00 0.869540
736.00 0.495900
641.00 0.867260
626.00 0.871840
741.00 0.525400
701.00 0.675060
586.00 0.875980
621.00 0.872960
696.00 0.404040
706.00 0.634040
646.00 0.864660
631.00 0.870740
661.00 0.854620
691.00 0.663680
656.00 0.858800
726.00 0.297800
671.00 0.797500
716.00 0.544160
686.00 0.702340
591.00 0.876140
