# Wavenumber	Transmittence
1956.00	0.817040
2071.00	0.840920
1966.00	0.828340
2061.00	0.840420
2026.00	0.839400
1981.00	0.838560
2001.00	0.838620
2111.00	0.843120
2161.00	0.845820
2076.00	0.841180
2136.00	0.844580
1976.00	0.838940
1996.00	0.838120
2066.00	0.840680
2121.00	0.843720
2151.00	0.845320
2031.00	0.839380
1941.00	0.807640
2101.00	0.842520
2046.00	0.839360
1986.00	0.837880
1946.00	0.803140
1991.00	0.837800
2166.00	0.846120
2056.00	0.840080
2146.00	0.845120
2116.00	0.843460
2091.00	0.841940
2011.00	0.839080
2006.00	0.838880
2131.00	0.844320
2081.00	0.841420
1961.00	0.823860
2086.00	0.841680
2036.00	0.839220
1951.00	0.809120
2016.00	0.839280
2156.00	0.845580
2021.00	0.839400
2106.00	0.842860
2141.00	0.844840
2096.00	0.842280
2041.00	0.839060
1971.00	0.834500
2051.00	0.839740
2126.00	0.844020
