# Wavenumber	Transmittence
801.00	0.839520
716.00	0.544160
711.00	0.600100
786.00	0.844800
781.00	0.839680
766.00	0.839160
741.00	0.525400
756.00	0.805600
856.00	0.843380
831.00	0.832100
761.00	0.831380
816.00	0.836420
826.00	0.835960
731.00	0.215180
751.00	0.720140
776.00	0.841260
836.00	0.835140
736.00	0.495900
701.00	0.675060
846.00	0.841200
681.00	0.716000
721.00	0.504080
806.00	0.841500
726.00	0.297800
811.00	0.841200
686.00	0.702340
696.00	0.404040
706.00	0.634040
771.00	0.840960
796.00	0.839020
851.00	0.842460
746.00	0.616260
791.00	0.841320
691.00	0.663680
821.00	0.838200
841.00	0.838840
