# Wavenumber,Transmittence
881.00,0.843140
951.00,0.854100
931.00,0.845260
876.00,0.845640
1001.00,0.845920
976.00,0.852280
1031.00,0.791240
896.00,0.841280
981.00,0.851180
911.00,0.844860
961.00,0.854680
1026.00,0.808840
926.00,0.844180
966.00,0.854160
936.00,0.846360
941.00,0.848580
1021.00,0.828440
1011.00,0.841400
891.00,0.838120
886.00,0.839760
901.00,0.844540
971.00,0.853280
1046.00,0.807360
986.00,0.849920
916.00,0.844400
956.00,0.854820
921.00,0.843880
1041.00,0.799360
906.00,0.845000
996.00,0.847280
1006.00,0.843900
1016.00,0.837460
946.00,0.852600
991.00,0.848620
1036.00,0.794580
