# Wavenumber	Transmittence
1996.00	0.838120
1901.00	0.831680
2061.00	0.840420
1986.00	0.837880
1936.00	0.811720
2041.00	0.839060
2051.00	0.839740
1911.00	0.829860
1966.00	0.828340
2081.00	0.841420
2046.00	0.839360
2071.00	0.840920
1941.00	0.807640
2031.00	0.839380
2006.00	0.838880
2091.00	0.841940
1931.00	0.813960
1896.00	0.832440
2096.00	0.842280
1961.00	0.823860
1891.00	0.831520
2076.00	0.841180
2126.00	0.844020
2056.00	0.840080
2011.00	0.839080
1906.00	0.831060
1926.00	0.819500
2111.00	0.843120
2036.00	0.839220
1921.00	0.825440
2001.00	0.838620
1946.00	0.803140
1886.00	0.829440
1991.00	0.837800
2021.00	0.839400
1981.00	0.838560
2016.00	0.839280
2106.00	0.842860
2066.00	0.840680
1971.00	0.834500
1956.00	0.817040
2101.00	0.842520
2121.00	0.843720
1951.00	0.809120
2086.00	0.841680
1976.00	0.838940
2116.00	0.843460
1916.00	0.828160
2026.00	0.839400
