# Wavenumber Transmittence
3141.00 0.854080
3251.00 0.864640
3071.00 0.601700
3081.00 0.606960
3186.00 0.860840
3091.00 0.650380
3196.00 0.863800
3171.00 0.861680
3176.00 0.860460
3121.00 0.794920
3256.00 0.864520
3261.00 0.864440
3206.00 0.866740
3066.00 0.613380
3151.00 0.859680
3161.00 0.861680
3136.00 0.844460
3281.00 0.865680
3116.00 0.780180
3241.00 0.864880
3226.00 0.865800
3086.00 0.619060
3181.00 0.859980
3191.00 0.862280
3271.00 0.865040
3076.00 0.601020
3201.00 0.865420
3146.00 0.858100
3246.00 0.864760
3266.00 0.864760
3236.00 0.865020
3276.00 0.865380
3221.00 0.866340
3106.00 0.724060
3101.00 0.708440
3286.00 0.865980
3231.00 0.865220
3166.00 0.862160
3211.00 0.867260
3126.00 0.810080
3131.00 0.829940
3216.00 0.866900
3156.00 0.860760
3096.00 0.694640
3111.00 0.757980
