# Wavenumber	Transmittence
501.00	0.872600
511.00	0.869920
581.00	0.875540
551.00	0.867080
521.00	0.861760
471.00	0.819700
556.00	0.868880
516.00	0.866700
631.00	0.870740
461.00	0.788240
541.00	0.863700
626.00	0.871840
591.00	0.876140
466.00	0.782880
531.00	0.860500
586.00	0.875980
621.00	0.872960
506.00	0.872020
561.00	0.870720
571.00	0.873820
596.00	0.876260
456.00	0.795540
476.00	0.838200
486.00	0.856180
606.00	0.875300
611.00	0.874600
536.00	0.862060
496.00	0.871440
491.00	0.867160
616.00	0.873920
526.00	0.859220
576.00	0.874900
601.00	0.875960
481.00	0.845540
546.00	0.865380
566.00	0.872500
