# Wavenumber	Transmittence
3621.00	0.875380
3541.00	0.877600
3626.00	0.875220
3531.00	0.877600
3576.00	0.876760
3636.00	0.874880
3556.00	0.877380
3616.00	0.875520
3561.00	0.877220
3536.00	0.877600
3646.00	0.874380
3551.00	0.877540
3631.00	0.875080
3586.00	0.876420
3511.00	0.877500
3661.00	0.873620
3651.00	0.874120
3591.00	0.876240
3526.00	0.877600
3596.00	0.876080
3571.00	0.876880
3606.00	0.875820
3611.00	0.875640
3566.00	0.877060
3516.00	0.877520
3581.00	0.876580
3546.00	0.877600
3601.00	0.875940
3656.00	0.873880
3521.00	0.877600
3666.00	0.873180
3641.00	0.874620
