# Wavenumber,Transmittence
3116.00,0.780180
3036.00,0.460880
3111.00,0.757980
3031.00,0.491300
3126.00,0.810080
3006.00,0.697520
3051.00,0.574200
3001.00,0.712100
3026.00,0.554680
3066.00,0.613380
3136.00,0.844460
3056.00,0.627860
3101.00,0.708440
3131.00,0.829940
3086.00,0.619060
3021.00,0.618980
3071.00,0.601700
3091.00,0.650380
3096.00,0.694640
3061.00,0.624440
3041.00,0.460360
3076.00,0.601020
3106.00,0.724060
2996.00,0.727660
3121.00,0.794920
3046.00,0.489560
3081.00,0.606960
3016.00,0.668520
3011.00,0.685480
