# Wavenumber Transmittence
666.00 0.845980
626.00 0.871840
621.00 0.872960
766.00 0.839160
616.00 0.873920
786.00 0.844800
691.00 0.663680
646.00 0.864660
661.00 0.854620
636.00 0.869540
761.00 0.831380
681.00 0.716000
671.00 0.797500
731.00 0.215180
676.00 0.752280
781.00 0.839680
656.00 0.858800
751.00 0.720140
746.00 0.616260
741.00 0.525400
726.00 0.297800
641.00 0.867260
721.00 0.504080
631.00 0.870740
706.00 0.634040
686.00 0.702340
711.00 0.600100
771.00 0.840960
716.00 0.544160
651.00 0.861960
776.00 0.841260
756.00 0.805600
736.00 0.495900
701.00 0.675060
696.00 0.404040
