# Wavenumber,Transmittence
3521.00,0.877600
3641.00,0.874620
3501.00,0.877380
3571.00,0.876880
3676.00,0.871720
3601.00,0.875940
3686.00,0.871200
3556.00,0.877380
3651.00,0.874120
3506.00,0.877040
3626.00,0.875220
3531.00,0.877600
3661.00,0.873620
3611.00,0.875640
3691.00,0.871360
3586.00,0.876420
3496.00,0.877300
3621.00,0.875380
3646.00,0.874380
3581.00,0.876580
3671.00,0.872420
3491.00,0.877180
3541.00,0.877600
3536.00,0.877600
3596.00,0.876080
3516.00,0.877520
3551.00,0.877540
3526.00,0.877600
3566.00,0.877060
3606.00,0.875820
3636.00,0.874880
3631.00,0.875080
3561.00,0.877220
3591.00,0.876240
3511.00,0.877500
3616.00,0.875520
3546.00,0.877600
3696.00,0.872020
3666.00,0.873180
3656.00,0.873880
3576.00,0.876760
3681.00,0.871220
