# Wavenumber,Transmittence
1641.00,0.827800
1616.00,0.728360
1726.00,0.825040
1706.00,0.831480
1596.00,0.778460
1686.00,0.829800
1621.00,0.749780
1586.00,0.807420
1711.00,0.829960
1696.00,0.832460
1681.00,0.829120
1661.00,0.827700
1651.00,0.827720
1721.00,0.826340
1646.00,0.827800
1716.00,0.828200
1601.00,0.752720
1611.00,0.719680
1576.00,0.803640
1701.00,0.832100
1606.00,0.734420
1656.00,0.827700
1636.00,0.822500
1676.00,0.828460
1591.00,0.796760
1581.00,0.805400
1631.00,0.794860
1671.00,0.827600
1571.00,0.807920
1666.00,0.827600
1626.00,0.774280
1691.00,0.831180
