# Wavenumber Transmittence
3081.00 0.606960
3021.00 0.618980
2961.00 0.747520
2941.00 0.625220
3026.00 0.554680
3011.00 0.685480
2981.00 0.757460
2956.00 0.730640
3036.00 0.460880
3076.00 0.601020
3051.00 0.574200
2951.00 0.704520
3041.00 0.460360
3071.00 0.601700
2971.00 0.767580
3066.00 0.613380
3046.00 0.489560
2946.00 0.657160
2966.00 0.761280
3016.00 0.668520
2996.00 0.727660
2986.00 0.749740
3006.00 0.697520
3001.00 0.712100
2991.00 0.739980
2976.00 0.764380
3056.00 0.627860
3061.00 0.624440
3031.00 0.491300
