# Wavenumber Transmittence
486.00 0.856180
471.00 0.819700
516.00 0.866700
481.00 0.845540
466.00 0.782880
601.00 0.875960
586.00 0.875980
621.00 0.872960
571.00 0.873820
456.00 0.795540
591.00 0.876140
606.00 0.875300
531.00 0.860500
541.00 0.863700
501.00 0.872600
536.00 0.862060
556.00 0.868880
496.00 0.871440
521.00 0.861760
506.00 0.872020
626.00 0.871840
616.00 0.873920
526.00 0.859220
566.00 0.872500
581.00 0.875540
546.00 0.865380
551.00 0.867080
461.00 0.788240
596.00 0.876260
576.00 0.874900
491.00 0.867160
611.00 0.874600
476.00 0.838200
511.00 0.869920
561.00 0.870720
