# Wavenumber,Transmittence
1136.00,0.849900
1251.00,0.836920
1211.00,0.834900
1146.00,0.847400
1186.00,0.837700
1101.00,0.826000
1241.00,0.840460
1226.00,0.835920
1141.00,0.848780
1216.00,0.833240
1231.00,0.841020
1191.00,0.840040
1166.00,0.842760
1126.00,0.850120
1176.00,0.835140
1236.00,0.841860
1181.00,0.834640
1156.00,0.844580
1121.00,0.846540
1196.00,0.840140
1201.00,0.839380
1116.00,0.838400
1161.00,0.843880
1206.00,0.837300
1151.00,0.845900
1246.00,0.838500
1111.00,0.832020
1221.00,0.833100
1171.00,0.839400
1131.00,0.850720
1106.00,0.831880
