# Wavenumber Transmittence
2471.00 0.857580
2496.00 0.858460
2631.00 0.862140
2491.00 0.858120
2636.00 0.862760
2466.00 0.857720
2646.00 0.863180
2626.00 0.861480
2576.00 0.857120
2606.00 0.858860
2526.00 0.859660
2516.00 0.859420
2621.00 0.860720
2581.00 0.857000
2566.00 0.857720
2521.00 0.859540
2561.00 0.858140
2616.00 0.860100
2641.00 0.862980
2596.00 0.857280
2556.00 0.858520
2486.00 0.857880
2531.00 0.859780
2571.00 0.857340
2601.00 0.857740
2511.00 0.859240
2481.00 0.857620
2591.00 0.857020
2476.00 0.857500
2546.00 0.859260
2501.00 0.858820
2651.00 0.863420
2541.00 0.859520
2611.00 0.859600
2536.00 0.859780
2551.00 0.858920
2506.00 0.859080
2586.00 0.856920
