# Wavenumber,Transmittence
2051.00,0.839740
1981.00,0.838560
2031.00,0.839380
1941.00,0.807640
1911.00,0.829860
2076.00,0.841180
2066.00,0.840680
1986.00,0.837880
2081.00,0.841420
1991.00,0.837800
1896.00,0.832440
2071.00,0.840920
1961.00,0.823860
1956.00,0.817040
1901.00,0.831680
2006.00,0.838880
1921.00,0.825440
2036.00,0.839220
1976.00,0.838940
2021.00,0.839400
1916.00,0.828160
1946.00,0.803140
2011.00,0.839080
2056.00,0.840080
2026.00,0.839400
2001.00,0.838620
1906.00,0.831060
2041.00,0.839060
1996.00,0.838120
2046.00,0.839360
2061.00,0.840420
1931.00,0.813960
1966.00,0.828340
1926.00,0.819500
2016.00,0.839280
1971.00,0.834500
1951.00,0.809120
1936.00,0.811720
