# Wavenumber Transmittence
831.00 0.832100
786.00 0.844800
706.00 0.634040
801.00 0.839520
741.00 0.525400
796.00 0.839020
856.00 0.843380
866.00 0.844980
686.00 0.702340
771.00 0.840960
811.00 0.841200
746.00 0.616260
781.00 0.839680
821.00 0.838200
696.00 0.404040
816.00 0.836420
721.00 0.504080
826.00 0.835960
776.00 0.841260
806.00 0.841500
701.00 0.675060
846.00 0.841200
716.00 0.544160
841.00 0.838840
861.00 0.844300
836.00 0.835140
766.00 0.839160
681.00 0.716000
731.00 0.215180
726.00 0.297800
756.00 0.805600
691.00 0.663680
761.00 0.831380
736.00 0.495900
751.00 0.720140
711.00 0.600100
851.00 0.842460
791.00 0.841320
