# Wavenumber	Transmittence
2226.00	0.850760
2276.00	0.853800
2176.00	0.847380
2191.00	0.849200
2141.00	0.844840
2181.00	0.848120
2206.00	0.850260
2261.00	0.852400
2151.00	0.845320
2236.00	0.851080
2291.00	0.855440
2161.00	0.845820
2156.00	0.845580
2211.00	0.850380
2186.00	0.848800
2266.00	0.852900
2216.00	0.850520
2311.00	0.858520
2271.00	0.853340
2316.00	0.859780
2196.00	0.849700
2306.00	0.857420
2251.00	0.851820
2286.00	0.854820
2296.00	0.855520
2281.00	0.854300
2136.00	0.844580
2231.00	0.850880
2171.00	0.846720
2201.00	0.850120
2146.00	0.845120
2301.00	0.856740
2256.00	0.852060
2221.00	0.850640
2166.00	0.846120
2241.00	0.851320
2246.00	0.851580
