# Wavenumber	Transmittence
921.00	0.843880
1026.00	0.808840
871.00	0.845080
991.00	0.848620
1041.00	0.799360
1016.00	0.837460
956.00	0.854820
941.00	0.848580
1006.00	0.843900
1066.00	0.792680
1061.00	0.800740
951.00	0.854100
936.00	0.846360
961.00	0.854680
851.00	0.842460
1046.00	0.807360
931.00	0.845260
916.00	0.844400
971.00	0.853280
866.00	0.844980
976.00	0.852280
1051.00	0.811160
946.00	0.852600
891.00	0.838120
1071.00	0.783100
901.00	0.844540
1011.00	0.841400
996.00	0.847280
876.00	0.845640
1021.00	0.828440
896.00	0.841280
926.00	0.844180
1056.00	0.806180
1001.00	0.845920
861.00	0.844300
846.00	0.841200
906.00	0.845000
886.00	0.839760
836.00	0.835140
881.00	0.843140
1036.00	0.794580
1031.00	0.791240
856.00	0.843380
841.00	0.838840
981.00	0.851180
986.00	0.849920
966.00	0.854160
911.00	0.844860
