# Wavenumber Transmittence
786.00 0.844800
816.00 0.836420
736.00 0.495900
646.00 0.864660
811.00 0.841200
636.00 0.869540
641.00 0.867260
776.00 0.841260
756.00 0.805600
721.00 0.504080
826.00 0.835960
741.00 0.525400
711.00 0.600100
791.00 0.841320
696.00 0.404040
831.00 0.832100
841.00 0.838840
796.00 0.839020
801.00 0.839520
651.00 0.861960
706.00 0.634040
836.00 0.835140
781.00 0.839680
806.00 0.841500
666.00 0.845980
726.00 0.297800
701.00 0.675060
821.00 0.838200
761.00 0.831380
771.00 0.840960
681.00 0.716000
746.00 0.616260
716.00 0.544160
766.00 0.839160
731.00 0.215180
661.00 0.854620
691.00 0.663680
676.00 0.752280
751.00 0.720140
671.00 0.797500
686.00 0.702340
656.00 0.858800
