# Wavenumber,Transmittence
2506.00,0.859080
2351.00,0.864360
2336.00,0.863880
2366.00,0.868260
2396.00,0.855520
2401.00,0.855720
2356.00,0.868480
2411.00,0.856180
2531.00,0.859780
2416.00,0.856200
2456.00,0.857760
2306.00,0.857420
2491.00,0.858120
2361.00,0.869960
2391.00,0.856100
2526.00,0.859660
2301.00,0.856740
2381.00,0.858320
2471.00,0.857580
2446.00,0.857320
2536.00,0.859780
2341.00,0.863040
2496.00,0.858460
2511.00,0.859240
2386.00,0.857120
2451.00,0.857520
2441.00,0.857120
2501.00,0.858820
2321.00,0.861100
2521.00,0.859540
2331.00,0.863720
2316.00,0.859780
2461.00,0.857800
2346.00,0.862460
2426.00,0.856280
2481.00,0.857620
2466.00,0.857720
2436.00,0.856880
2326.00,0.862600
2486.00,0.857880
2371.00,0.865300
2376.00,0.861100
2431.00,0.856580
2311.00,0.858520
2516.00,0.859420
2476.00,0.857500
2406.00,0.855980
2421.00,0.856200
