# Wavenumber	Transmittence
836.00	0.835140
816.00	0.836420
946.00	0.852600
1016.00	0.837460
906.00	0.845000
956.00	0.854820
886.00	0.839760
1026.00	0.808840
926.00	0.844180
856.00	0.843380
961.00	0.854680
881.00	0.843140
861.00	0.844300
951.00	0.854100
1006.00	0.843900
821.00	0.838200
991.00	0.848620
826.00	0.835960
1021.00	0.828440
1001.00	0.845920
921.00	0.843880
911.00	0.844860
916.00	0.844400
986.00	0.849920
851.00	0.842460
866.00	0.844980
1011.00	0.841400
841.00	0.838840
936.00	0.846360
846.00	0.841200
931.00	0.845260
976.00	0.852280
966.00	0.854160
811.00	0.841200
971.00	0.853280
871.00	0.845080
831.00	0.832100
996.00	0.847280
891.00	0.838120
941.00	0.848580
901.00	0.844540
981.00	0.851180
896.00	0.841280
876.00	0.845640
1036.00	0.794580
1031.00	0.791240
