# Wavenumber Transmittence
3341.00 0.869220
3376.00 0.870980
3276.00 0.865380
3296.00 0.866580
3381.00 0.871340
3346.00 0.869480
3336.00 0.868980
3326.00 0.868420
3286.00 0.865980
3356.00 0.869980
3281.00 0.865680
3316.00 0.867820
3331.00 0.868720
3366.00 0.870480
3291.00 0.866280
3401.00 0.872940
3271.00 0.865040
3261.00 0.864440
3406.00 0.873360
3411.00 0.873740
3306.00 0.867180
3266.00 0.864760
3386.00 0.871760
3256.00 0.864520
3396.00 0.872560
3371.00 0.870720
3321.00 0.868120
3361.00 0.870220
3301.00 0.866920
3311.00 0.867520
3391.00 0.872140
3351.00 0.869720
