# Wavenumber	Transmittence
3306.00	0.867180
3161.00	0.861680
3196.00	0.863800
3321.00	0.868120
3311.00	0.867520
3176.00	0.860460
3136.00	0.844460
3221.00	0.866340
3126.00	0.810080
3316.00	0.867820
3301.00	0.866920
3241.00	0.864880
3181.00	0.859980
3251.00	0.864640
3291.00	0.866280
3206.00	0.866740
3271.00	0.865040
3156.00	0.860760
3121.00	0.794920
3246.00	0.864760
3146.00	0.858100
3186.00	0.860840
3171.00	0.861680
3151.00	0.859680
3191.00	0.862280
3266.00	0.864760
3131.00	0.829940
3236.00	0.865020
3281.00	0.865680
3211.00	0.867260
3141.00	0.854080
3256.00	0.864520
3166.00	0.862160
3226.00	0.865800
3326.00	0.868420
3286.00	0.865980
3216.00	0.866900
3231.00	0.865220
3261.00	0.864440
3296.00	0.866580
3276.00	0.865380
3201.00	0.865420
