# Wavenumber,Transmittence
721.00,0.504080
691.00,0.663680
701.00,0.675060
766.00,0.839160
811.00,0.841200
786.00,0.844800
736.00,0.495900
646.00,0.864660
806.00,0.841500
771.00,0.840960
716.00,0.544160
656.00,0.858800
706.00,0.634040
711.00,0.600100
696.00,0.404040
676.00,0.752280
731.00,0.215180
776.00,0.841260
636.00,0.869540
796.00,0.839020
726.00,0.297800
746.00,0.616260
791.00,0.841320
651.00,0.861960
681.00,0.716000
756.00,0.805600
666.00,0.845980
661.00,0.854620
781.00,0.839680
641.00,0.867260
761.00,0.831380
671.00,0.797500
741.00,0.525400
751.00,0.720140
801.00,0.839520
686.00,0.702340
