# Wavenumber,Transmittence
3116.00,0.780180
3041.00,0.460360
3036.00,0.460880
3086.00,0.619060
2991.00,0.739980
2996.00,0.727660
3096.00,0.694640
3106.00,0.724060
3101.00,0.708440
3111.00,0.757980
3091.00,0.650380
3026.00,0.554680
3056.00,0.627860
3011.00,0.685480
3021.00,0.618980
3071.00,0.601700
3066.00,0.613380
3081.00,0.606960
3006.00,0.697520
2986.00,0.749740
3001.00,0.712100
3016.00,0.668520
3051.00,0.574200
3076.00,0.601020
3046.00,0.489560
3061.00,0.624440
3031.00,0.491300
3121.00,0.794920
