# Wavenumber Transmittence
576.00 0.874900
506.00 0.872020
486.00 0.856180
466.00 0.782880
496.00 0.871440
461.00 0.788240
566.00 0.872500
581.00 0.875540
556.00 0.868880
491.00 0.867160
526.00 0.859220
476.00 0.838200
601.00 0.875960
536.00 0.862060
481.00 0.845540
516.00 0.866700
541.00 0.863700
591.00 0.876140
616.00 0.873920
521.00 0.861760
511.00 0.869920
531.00 0.860500
606.00 0.875300
596.00 0.876260
456.00 0.795540
501.00 0.872600
611.00 0.874600
471.00 0.819700
586.00 0.875980
546.00 0.865380
551.00 0.867080
571.00 0.873820
561.00 0.870720
