# Wavenumber	Transmittence
931.00	0.845260
991.00	0.848620
846.00	0.841200
871.00	0.845080
946.00	0.852600
1036.00	0.794580
821.00	0.838200
901.00	0.844540
856.00	0.843380
961.00	0.854680
1016.00	0.837460
916.00	0.844400
996.00	0.847280
906.00	0.845000
926.00	0.844180
831.00	0.832100
966.00	0.854160
836.00	0.835140
981.00	0.851180
1026.00	0.808840
941.00	0.848580
1011.00	0.841400
1006.00	0.843900
816.00	0.836420
976.00	0.852280
876.00	0.845640
1001.00	0.845920
1031.00	0.791240
896.00	0.841280
866.00	0.844980
841.00	0.838840
986.00	0.849920
936.00	0.846360
971.00	0.853280
861.00	0.844300
921.00	0.843880
851.00	0.842460
1021.00	0.828440
891.00	0.838120
1041.00	0.799360
886.00	0.839760
881.00	0.843140
911.00	0.844860
951.00	0.854100
826.00	0.835960
956.00	0.854820
