# Wavenumber	Transmittence
466.00	0.782880
506.00	0.872020
496.00	0.871440
616.00	0.873920
471.00	0.819700
481.00	0.845540
556.00	0.868880
536.00	0.862060
541.00	0.863700
526.00	0.859220
516.00	0.866700
521.00	0.861760
566.00	0.872500
591.00	0.876140
491.00	0.867160
551.00	0.867080
621.00	0.872960
631.00	0.870740
476.00	0.838200
586.00	0.875980
501.00	0.872600
601.00	0.875960
576.00	0.874900
486.00	0.856180
561.00	0.870720
606.00	0.875300
626.00	0.871840
571.00	0.873820
546.00	0.865380
596.00	0.876260
456.00	0.795540
636.00	0.869540
461.00	0.788240
611.00	0.874600
581.00	0.875540
511.00	0.869920
531.00	0.860500
