# Wavenumber Transmittence
551.00 0.867080
641.00 0.867260
556.00 0.868880
491.00 0.867160
646.00 0.864660
651.00 0.861960
456.00 0.795540
471.00 0.819700
511.00 0.869920
591.00 0.876140
611.00 0.874600
521.00 0.861760
516.00 0.866700
501.00 0.872600
486.00 0.856180
461.00 0.788240
631.00 0.870740
596.00 0.876260
466.00 0.782880
536.00 0.862060
531.00 0.860500
656.00 0.858800
476.00 0.838200
546.00 0.865380
571.00 0.873820
526.00 0.859220
626.00 0.871840
576.00 0.874900
566.00 0.872500
496.00 0.871440
661.00 0.854620
541.00 0.863700
636.00 0.869540
616.00 0.873920
621.00 0.872960
561.00 0.870720
506.00 0.872020
481.00 0.845540
606.00 0.875300
586.00 0.875980
581.00 0.875540
601.00 0.875960
