# Wavenumber Transmittence
2971.00 0.767580
2991.00 0.739980
2886.00 0.723160
2956.00 0.730640
2911.00 0.766940
3016.00 0.668520
3031.00 0.491300
2901.00 0.773500
3051.00 0.574200
2976.00 0.764380
2961.00 0.747520
3026.00 0.554680
2951.00 0.704520
2966.00 0.761280
2981.00 0.757460
3036.00 0.460880
2891.00 0.736900
2946.00 0.657160
2916.00 0.736060
2906.00 0.772900
2986.00 0.749740
3001.00 0.712100
3041.00 0.460360
3021.00 0.618980
2996.00 0.727660
2926.00 0.631860
2936.00 0.616840
3011.00 0.685480
2941.00 0.625220
2931.00 0.618560
2896.00 0.759360
3006.00 0.697520
2921.00 0.667880
3046.00 0.489560
