# Wavenumber	Transmittence
1616.00	0.728360
1776.00	0.820540
1636.00	0.822500
1726.00	0.825040
1641.00	0.827800
1661.00	0.827700
1751.00	0.831840
1626.00	0.774280
1771.00	0.824000
1666.00	0.827600
1786.00	0.813120
1631.00	0.794860
1621.00	0.749780
1696.00	0.832460
1611.00	0.719680
1716.00	0.828200
1706.00	0.831480
1721.00	0.826340
1746.00	0.831500
1741.00	0.826020
1781.00	0.816860
1676.00	0.828460
1826.00	0.828800
1651.00	0.827720
1791.00	0.809540
1816.00	0.821880
1601.00	0.752720
1736.00	0.824060
1831.00	0.827600
1691.00	0.831180
1671.00	0.827600
1821.00	0.827380
1806.00	0.811380
1756.00	0.831040
1841.00	0.821140
1761.00	0.828860
1731.00	0.824200
1766.00	0.826480
1836.00	0.825160
1701.00	0.832100
1711.00	0.829960
1656.00	0.827700
1681.00	0.829120
1846.00	0.816020
1686.00	0.829800
1801.00	0.807560
1606.00	0.734420
1646.00	0.827800
1811.00	0.815480
1796.00	0.807000
