# Wavenumber,Transmittence
2446.00,0.857320
2466.00,0.857720
2376.00,0.861100
2401.00,0.855720
2441.00,0.857120
2411.00,0.856180
2426.00,0.856280
2341.00,0.863040
2421.00,0.856200
2336.00,0.863880
2456.00,0.857760
2436.00,0.856880
2451.00,0.857520
2396.00,0.855520
2326.00,0.862600
2486.00,0.857880
2356.00,0.868480
2461.00,0.857800
2346.00,0.862460
2476.00,0.857500
2371.00,0.865300
2386.00,0.857120
2391.00,0.856100
2406.00,0.855980
2431.00,0.856580
2351.00,0.864360
2471.00,0.857580
2416.00,0.856200
2331.00,0.863720
2381.00,0.858320
2366.00,0.868260
2481.00,0.857620
2361.00,0.869960
