# Wavenumber	Transmittence
3116.00	0.780180
3226.00	0.865800
3251.00	0.864640
3136.00	0.844460
3216.00	0.866900
3186.00	0.860840
3131.00	0.829940
3106.00	0.724060
3191.00	0.862280
3281.00	0.865680
3166.00	0.862160
3096.00	0.694640
3171.00	0.861680
3091.00	0.650380
3231.00	0.865220
3146.00	0.858100
3271.00	0.865040
3256.00	0.864520
3286.00	0.865980
3266.00	0.864760
3201.00	0.865420
3121.00	0.794920
3261.00	0.864440
3126.00	0.810080
3296.00	0.866580
3291.00	0.866280
3206.00	0.866740
3276.00	0.865380
3241.00	0.864880
3211.00	0.867260
3151.00	0.859680
3181.00	0.859980
3161.00	0.861680
3176.00	0.860460
3196.00	0.863800
3246.00	0.864760
3221.00	0.866340
3141.00	0.854080
3236.00	0.865020
3156.00	0.860760
3111.00	0.757980
3101.00	0.708440
