# Wavenumber	Transmittence
3656.00	0.873880
3616.00	0.875520
3686.00	0.871200
3696.00	0.872020
3626.00	0.875220
3736.00	0.872160
3636.00	0.874880
3726.00	0.872360
3706.00	0.872680
3701.00	0.872420
3566.00	0.877060
3721.00	0.872440
3641.00	0.874620
3621.00	0.875380
3746.00	0.871960
3716.00	0.872560
3711.00	0.872680
3676.00	0.871720
3666.00	0.873180
3611.00	0.875640
3646.00	0.874380
3661.00	0.873620
3606.00	0.875820
3671.00	0.872420
3691.00	0.871360
3741.00	0.872040
3576.00	0.876760
3556.00	0.877380
3551.00	0.877540
3561.00	0.877220
3651.00	0.874120
3681.00	0.871220
3591.00	0.876240
3751.00	0.871840
3596.00	0.876080
3631.00	0.875080
3731.00	0.872240
3601.00	0.875940
3581.00	0.876580
3571.00	0.876880
3586.00	0.876420
