# Wavenumber	Transmittence
506.00	0.872020
521.00	0.861760
471.00	0.819700
621.00	0.872960
476.00	0.838200
536.00	0.862060
566.00	0.872500
516.00	0.866700
601.00	0.875960
491.00	0.867160
616.00	0.873920
551.00	0.867080
591.00	0.876140
531.00	0.860500
606.00	0.875300
461.00	0.788240
496.00	0.871440
636.00	0.869540
646.00	0.864660
456.00	0.795540
541.00	0.863700
571.00	0.873820
561.00	0.870720
596.00	0.876260
481.00	0.845540
576.00	0.874900
526.00	0.859220
546.00	0.865380
611.00	0.874600
626.00	0.871840
501.00	0.872600
631.00	0.870740
581.00	0.875540
511.00	0.869920
641.00	0.867260
586.00	0.875980
466.00	0.782880
556.00	0.868880
486.00	0.856180
